gtfsid;name;vltid;vltnamn;vltnamn2;;;;;
7404318;Bredviken E45;65006;Bredviken;Bredviken;;;;;
7422325;Broby (Ölme) fd affären;81020;Broby fd affären;Broby fd affären;;;;;
7465402;Brokerud;84404;Brokerud;Brokerud;;;;;
7410179;Brosäter;80456;Brosäter;Brosäter;;;;;
7457979;Brotorp;81021;Brotorp (Nybble);Brotorp (Nybble);;;;;
7457808;Brukmon;80458;Brukmon;Brukmon;;;;;
7458347;Brunnbergsvägen;83012;Brunnbergsvägen;Brunnbergsvägen;;;;;
7458554;Brunsberg;84095;Brunsberg;Brunsberg;;;;;
7401423;Brunsberg station;84096;Brunsbergs station;Brunsbergs station;;;;;
7458556;Brunsbergs Herrgård;84097;Brunsbergs Herrgård;Brunsbergs Herrgård;;;;;
7457535;Bråne;66135;Bråne;Bråne;;;;;
7457444;Bråsstorpsvägen;66007;Bråsstorpsvägen;Bråsstorpsvägen;;;;;
7458557;Bråten;84098;Bråten (Fiskevik);Bråten (Fiskevik);;;;;
7458811;Bråten;85014;Bråten (Värmlandsbro);Bråten (Värmlandsbro);;;;;
7424609;Bräcka;85015;Bräcka;Bräcka;;;;;
7422375;Brättnekorset;84099;Brättnekorset;Brättnekorset;;;;;
7458348;Buda;83013;Buda;Buda;;;;;
7458813;Bunäsvägen;85016;Bunäsvägen;Bunäsvägen;;;;;
7458349;Busjöviken;83014;Busjöviken;Busjöviken;;;;;
7458350;Busjöåsen;83015;Busjöåsen;Busjöåsen;;;;;
7422304;By;83016;By (Höje);By (Höje);;;;;
7458351;By;66008;By (Sunne);By (Sunne);;;;;
7458880;By kyrka;85102;By kyrka;By kyrka;;;;;
7457539;Bygärdet;66139;Bygärdet (VTAB);Bygärdet (VTAB);;;;;
7458559;Byn;84101;Byn (Gunnarskog);Byn (Gunnarskog);;;;;
7458352;Byn Ordenshuset;83017;Byn Ordenshuset;Byn Ordenshuset;;;;;
7464347;Byn södra;84397;Byn Södra;Byn Södra;;;;;
7422296;Bålgård;84103;Bålgård;Bålgård;30007;Bålstad;Bålstad;;
